Last Activity Date,部署,Display Name,Meeting Created Count の合計,Read Count の合計,Receive Count の合計,Meeting Interacted Count の合計,Report Period の合計
2022/12/23 0:00,その他,ユーザー2806,57,7172,6022,51,180
2022/12/23 0:00,その他,ユーザー3396,57,1649,2127,23,180
2022/12/23 0:00,その他,ユーザー4376,57,29308,29119,10,180
2022/12/24 0:00,その他,ユーザー6794,57,11479,11278,12,180
2022/12/23 0:00,その他,ユーザー7547,57,342,312,0,180
2022/12/23 0:00,その他,ユーザー7912,57,6698,8217,37,180
2022/12/23 0:00,部署 A,ユーザー0546,56,32449,17457,14,180
2022/12/24 0:00,部署 A,ユーザー1088,56,4194,3951,11,180
2022/12/23 0:00,その他,ユーザー4182,56,15253,17972,18,180
2022/12/23 0:00,その他,ユーザー5409,56,2000,1900,90,180
2022/12/23 0:00,その他,ユーザー6005,56,2571,3371,151,180
2022/12/24 0:00,その他,ユーザー6314,56,3276,7595,29,180
2022/12/23 0:00,その他,ユーザー6355,56,6486,5007,525,180
2022/12/23 0:00,その他,ユーザー6947,56,2342,2239,36,180
2022/12/23 0:00,その他,ユーザー3152,55,5143,5850,269,180
2022/12/23 0:00,その他,ユーザー3659,55,4898,4673,19,180
